iter	Passed	Remaining
948	52599	2826
949	52654	2771
950	52706	2715
951	52732	2658
952	52782	2603
953	52834	2547
954	52885	2491
955	52931	2436
956	52981	2380
957	53033	2325
958	53084	2269
959	53135	2213
960	53184	2158
961	53235	2102
962	53287	2047
963	53336	1991
964	53388	1936
965	53437	1880
966	53490	1825
967	53546	1770
968	53639	1716
969	53721	1661
970	53778	1606
971	53830	1550
972	53880	1495
973	53940	1439
974	54056	1386
975	54128	1331
976	54196	1275
977	54247	1220
978	54300	1164
979	54348	1109
980	54400	1053
981	54450	998
982	54501	942
983	54554	887
984	54605	831
985	54680	776
986	54757	721
987	54827	665
988	54879	610
989	54930	554
990	54980	499
991	55036	443
992	55096	388
993	55169	333
994	55245	277
995	55310	222
996	55376	166
997	55428	111
998	55480	55
999	55536	0
